instance_id,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,7,"['60088-0.17339720018208027s', '60088-17.071897100191563s', '85127-117.40291050029919s', '88898-217.68111660005525s', '88898-248.28898110007867s', '88898-278.93156140018255s', '88898-307.51961209997535s', '88898-335.43925440032035s', '88898-365.20807459997013s']",365.20807,2,6,365.2088,88898
instance02,13,"['242924-0.6899253004230559s', '242924-85.18306180043146s', '249765-185.46661850018427s', '252725-285.6027634004131s', '253676-385.78106320044026s', '253780-486.0064851003699s', '254771-586.2036472000182s', '255323-600.0815757000819s']",600.08158,4,8,600.0823,255323
instance03,20,"['650528-1.7158474000170827s', '654970-102.20851399982348s', '657993-203.20602509984747s', '661266-304.5066158999689s', '663260-405.7222041999921s']",405.72220,3,9,405.7240,663260
instance04,7,"['40743-0.3286422002129257s', '41447-13.128965000156313s', '73058-50.46460170019418s', '78178-150.6409992002882s', '79340-212.19673960004002s', '80384-289.3584912000224s', '80384-334.9321970003657s', '80384-383.9461249001324s', '80384-425.50132310017943s', '80384-472.445370899979s']",472.44537,4,13,472.4462,80384
instance05,13,"['213928-2.0268036001361907s', '213928-96.77246659994125s', '226686-196.9837492001243s', '228989-297.91226030001417s', '233377-398.1095052002929s', '234935-498.86751340003684s', '236138-599.212264300324s', '236138-600.9661945002154s']",600.96619,4,10,600.9676,236138
instance06,20,"['635055-4.59800780005753s', '636195-107.16143870027736s', '636426-209.25590249989182s', '636953-309.664998000022s', '636953-409.96313990000635s', '636953-510.3306364999153s']",510.33064,2,3,510.3317,636953
instance07,17,"['181669-0.9652008996345103s', '181669-35.14805589988828s', '218589-135.18645339971408s', '221411-235.76949959993362s', '222211-335.8650471996516s', '222211-434.97818399965763s', '223145-535.4687822000124s', '223145-600.6168470997363s']",600.61685,4,16,600.6179,223145
instance08,33,"['651480-5.83815629966557s', '652695-107.00425159977749s', '654056-207.12246489990503s', '654490-307.8982794000767s', '654490-408.8493804996833s', '654705-509.5382662997581s', '655294-600.8561493000016s']",600.85615,3,4,600.8577,655294
instance09,50,"['1739233-15.587574599776417s', '1740078-119.35499250004068s', '1740078-221.32762040011585s', '1740078-322.56742820004s', '1740078-424.58500359999016s']",424.58500,0,0,424.5859,1740078
instance10,33,"['414711-2.1572643001563847s', '414711-73.77081370027736s', '455511-174.83760510012507s', '456927-275.3549100002274s', '457829-375.8142175003886s', '460324-476.2884287000634s', '460615-577.9520878000185s', '460615-600.1640840000473s']",600.16408,4,25,600.1658,460615
instance11,67,"['1359529-16.820330699905753s', '1360145-119.68557670013979s', '1362832-222.9543987000361s', '1364526-323.8834350001998s', '1364958-424.1280881999992s', '1364958-524.7513831998222s', '1365507-602.2543363999575s']",602.25434,3,6,602.2557,1365507
instance12,100,"['3552813-81.75033929990605s', '3552813-198.73776119994s', '3552813-304.64955820003524s', '3552813-411.1542465002276s', '3552813-511.9396128002554s']",511.93961,0,0,511.9406,3552813
