instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,10,4,"['51206-0.1896114999999554s', '51206-4.111657000000378s', '70204-9.13790919999974s', '78566-39.40727450000031s', '79145-54.97909129999971s', '79145-60.06090260000019s']","60,0609",2,5,"60,0621",92320
instance02,20,8,"['113451-0.9691947000001164s', '113451-5.512182899999971s', '154143-15.387818799999877s', '202894-34.14456440000049s', '238062-60.20729180000035s']","60,20729",3,24,"60,2086",277756
instance03,30,12,"['164300-1.7494011999997383s', '164300-5.382946499999889s', '223957-22.443972600000052s', '286848-33.376500999999735s', '349267-60.04193799999939s']","60,04194",3,36,"60,0431",712635
instance04,10,4,"['49753-0.447229100000186s', '49753-4.812067099999695s', '64355-13.007222700000057s', '72825-60.10243459999947s']","60,10243",2,7,"60,1035",83788
instance05,20,8,"['114856-2.0999062999999296s', '114856-8.991627200000949s', '154920-23.09540779999952s', '199457-51.568881000001056s', '225808-60.419895500001076s']","60,4199",3,24,"60,4212",257272
instance06,30,12,"['172157-4.874111200000698s', '172157-14.559481800000867s', '244351-37.05808370000159s', '310303-60.22196780000013s']","60,22197",2,24,"60,2232",684413
instance07,25,10,"['151173-1.020263899999918s', '151173-7.881434799999624s', '198982-18.69707869999911s', '212489-60.715914799999155s']","60,71591",2,15,"60,7177",234050
instance08,50,20,"['298675-6.124430800000482s', '298675-20.43472180000026s', '410625-43.29343750000044s', '523878-60.29025980000006s']","60,29026",2,39,"60,2917",680549
instance09,75,30,"['415819-16.271894400000747s', '415819-35.690493699999934s', '569654-60.081063800000265s']","60,08106",1,30,"60,0827",1789933
instance10,50,20,"['284003-2.296428099998593s', '284003-13.78573359999973s', '397308-60.101063299998714s']","60,10106",1,20,"60,1025",489754
instance11,100,40,"['574122-17.709193599999708s', '574122-42.29447020000043s', '790998-60.23788700000114s']","60,23789",1,39,"60,2396",1367142
instance12,150,60,"['879229-0.061153400001785485s', '879229-62.18415820000155s']","62,18416",0,0,"62,1859",3676775
