instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,RIMUOVERE-removed-counter,RIMUOVERE-selected-counter,RIMUOVERE-not-selected-counter,RIMUOVERE-try-add-counter,RIMUOVERE-item-to-move-counter,RIMUOVERE-knapsack-selection-counter,building_solution_time,iterations_counter,improvements_counter,improve_top_solution_counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-r (restart) counter,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance09_bucket1,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,1.0526,422967
instance09_bucket2,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,1.6735,590160
instance09_bucket3,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,2.1067,771534
instance09_bucket4,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,2.8678,960584
instance09_bucket5,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,3.4797,1138530
instance09_bucket6,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,4.0524,1311669
instance09_bucket7,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,4.5916,1478216
instance09_bucket8,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,6.0446,1660698
instance09_bucket9,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_cpu_time_limit,502.3108,1812022
instance09_bucket10,vnds,10.908954100006667,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_cpu_time_limit,13.5349,1812022
